t (s), a, T (GK), Tnu (GK), photons, baryons, neutrinos, phi (GeV^4), Y(n), Y(p), Y(2H), Y(4He), Y(7Li), eta
1.89369e-04,8.00557e-11,2.69813e+01,2.69812e+01,1.92286e-11,4.76858e-18,5.12488e-11,0.00000e+00,3.64496e-01,6.35504e-01,1.01112e-12,1.00000e-30,1.00000e-30,1.67205e-09
2.84054e-04,8.00835e-11,2.69719e+01,2.69718e+01,1.92020e-11,4.76360e-18,5.11776e-11,0.00000e+00,3.64494e-01,6.35506e-01,1.01093e-12,1.00000e-30,1.00000e-30,1.67204e-09
4.26081e-04,8.01253e-11,2.69579e+01,2.69578e+01,1.91621e-11,4.75616e-18,5.10711e-11,0.00000e+00,3.64491e-01,6.35509e-01,1.01063e-12,1.00000e-30,1.00000e-30,1.67204e-09
6.39121e-04,8.01878e-11,2.69369e+01,2.69368e+01,1.91025e-11,4.74504e-18,5.09120e-11,0.00000e+00,3.64485e-01,6.35515e-01,1.01019e-12,1.00000e-30,1.00000e-30,1.67203e-09
9.58681e-04,8.02815e-11,2.69055e+01,2.69053e+01,1.90136e-11,4.72843e-18,5.06747e-11,0.00000e+00,3.64471e-01,6.35529e-01,1.00953e-12,1.00000e-30,1.00000e-30,1.67202e-09
1.43802e-03,8.04218e-11,2.68586e+01,2.68584e+01,1.88814e-11,4.70370e-18,5.03218e-11,0.00000e+00,3.64442e-01,6.35558e-01,1.00854e-12,1.00000e-30,1.00000e-30,1.67200e-09
2.15703e-03,8.06318e-11,2.67888e+01,2.67884e+01,1.86857e-11,4.66701e-18,4.97994e-11,0.00000e+00,3.64379e-01,6.35621e-01,1.00703e-12,1.00000e-30,1.00000e-30,1.67197e-09
3.23555e-03,8.09454e-11,2.66850e+01,2.66844e+01,1.83979e-11,4.61287e-18,4.90309e-11,0.00000e+00,3.64247e-01,6.35753e-01,1.00476e-12,1.00000e-30,1.00000e-30,1.67192e-09
4.85332e-03,8.14132e-11,2.65316e+01,2.65308e+01,1.79784e-11,4.53358e-18,4.79111e-11,0.00000e+00,3.63980e-01,6.36020e-01,1.00133e-12,1.00000e-30,1.00000e-30,1.67186e-09
7.27998e-03,8.21089e-11,2.63064e+01,2.63051e+01,1.73757e-11,4.41885e-18,4.63021e-11,0.00000e+00,3.63458e-01,6.36542e-01,9.96170e-13,1.00000e-30,1.00000e-30,1.67176e-09
1.01508e-02,8.29237e-11,2.60472e+01,2.60455e+01,1.67011e-11,4.28924e-18,4.45011e-11,0.00000e+00,3.62704e-01,6.37296e-01,9.90110e-13,1.00000e-30,1.00000e-30,1.67164e-09
1.30792e-02,8.37466e-11,2.57906e+01,2.57885e+01,1.60526e-11,4.16342e-18,4.27701e-11,0.00000e+00,3.61827e-01,6.38173e-01,9.84053e-13,1.00000e-30,1.00000e-30,1.67152e-09
1.60664e-02,8.45777e-11,2.55366e+01,2.55339e+01,1.54294e-11,4.04129e-18,4.11063e-11,0.00000e+00,3.60859e-01,6.39141e-01,9.78040e-13,1.00000e-30,1.00000e-30,1.67140e-09
1.91136e-02,8.54172e-11,2.52850e+01,2.52819e+01,1.48303e-11,3.92274e-18,3.95072e-11,0.00000e+00,3.59825e-01,6.40175e-01,9.72078e-13,1.00000e-30,1.00000e-30,1.67127e-09
2.22219e-02,8.62650e-11,2.50359e+01,2.50323e+01,1.42545e-11,3.80766e-18,3.79703e-11,0.00000e+00,3.58743e-01,6.41257e-01,9.66173e-13,1.00000e-30,1.00000e-30,1.67115e-09
2.53927e-02,8.71212e-11,2.47893e+01,2.47852e+01,1.37011e-11,3.69594e-18,3.64930e-11,0.00000e+00,3.57626e-01,6.42374e-01,9.60340e-13,1.00000e-30,1.00000e-30,1.67102e-09
2.86272e-02,8.79860e-11,2.45451e+01,2.45406e+01,1.31691e-11,3.58751e-18,3.50732e-11,0.00000e+00,3.56480e-01,6.43520e-01,9.54596e-13,1.00000e-30,1.00000e-30,1.67088e-09
3.19267e-02,8.88595e-11,2.43033e+01,2.42983e+01,1.26578e-11,3.48224e-18,3.37085e-11,0.00000e+00,3.55313e-01,6.44687e-01,9.48949e-13,1.00000e-30,1.00000e-30,1.67075e-09
3.52924e-02,8.97416e-11,2.40639e+01,2.40584e+01,1.21664e-11,3.38006e-18,3.23969e-11,0.00000e+00,3.54129e-01,6.45871e-01,9.43400e-13,1.00000e-30,1.00000e-30,1.67061e-09
3.87257e-02,9.06326e-11,2.38268e+01,2.38208e+01,1.16940e-11,3.28088e-18,3.11363e-11,0.00000e+00,3.52930e-01,6.47070e-01,9.37947e-13,1.00000e-30,1.00000e-30,1.67047e-09
4.22281e-02,9.15324e-11,2.35921e+01,2.35856e+01,1.12400e-11,3.18460e-18,2.99246e-11,0.00000e+00,3.51718e-01,6.48282e-01,9.32594e-13,1.00000e-30,1.00000e-30,1.67033e-09
4.58008e-02,9.24413e-11,2.33597e+01,2.33527e+01,1.08036e-11,3.09114e-18,2.87600e-11,0.00000e+00,3.50496e-01,6.49504e-01,9.27342e-13,1.00000e-30,1.00000e-30,1.67018e-09
4.94452e-02,9.33592e-11,2.31296e+01,2.31221e+01,1.03841e-11,3.00041e-18,2.76407e-11,0.00000e+00,3.49265e-01,6.50735e-01,9.22192e-13,1.00000e-30,1.00000e-30,1.67003e-09
5.31630e-02,9.42863e-11,2.29017e+01,2.28938e+01,9.98095e-12,2.91235e-18,2.65649e-11,0.00000e+00,3.48024e-01,6.51976e-01,9.17145e-13,1.00000e-30,1.00000e-30,1.66988e-09
5.69554e-02,9.52226e-11,2.26761e+01,2.26677e+01,9.59343e-12,2.82686e-18,2.55309e-11,0.00000e+00,3.46776e-01,6.53224e-01,9.12200e-13,1.00000e-30,1.00000e-30,1.66973e-09
6.08241e-02,9.61683e-11,2.24527e+01,2.24438e+01,9.22096e-12,2.74388e-18,2.45371e-11,0.00000e+00,3.45521e-01,6.54479e-01,9.07357e-13,1.00000e-30,1.00000e-30,1.66957e-09
6.47706e-02,9.71235e-11,2.22316e+01,2.22221e+01,8.86296e-12,2.66333e-18,2.35819e-11,0.00000e+00,3.44259e-01,6.55741e-01,9.02617e-13,1.00000e-30,1.00000e-30,1.66941e-09
6.87964e-02,9.80882e-11,2.20125e+01,2.20026e+01,8.51885e-12,2.58514e-18,2.26639e-11,0.00000e+00,3.42990e-01,6.57010e-01,8.97978e-13,1.00000e-30,1.00000e-30,1.66924e-09
7.29032e-02,9.90625e-11,2.17957e+01,2.17852e+01,8.18810e-12,2.50924e-18,2.17815e-11,0.00000e+00,3.41716e-01,6.58284e-01,8.93441e-13,1.00000e-30,1.00000e-30,1.66908e-09
7.70925e-02,1.00047e-10,2.15810e+01,2.15700e+01,7.87019e-12,2.43557e-18,2.09334e-11,0.00000e+00,3.40435e-01,6.59565e-01,8.89005e-13,1.00000e-30,1.00000e-30,1.66891e-09
8.13661e-02,1.01041e-10,2.13684e+01,2.13569e+01,7.56463e-12,2.36405e-18,2.01183e-11,0.00000e+00,3.39150e-01,6.60850e-01,8.84670e-13,1.00000e-30,1.00000e-30,1.66873e-09
8.57257e-02,1.02044e-10,2.11579e+01,2.11459e+01,7.27093e-12,2.29463e-18,1.93349e-11,0.00000e+00,3.37859e-01,6.62141e-01,8.80436e-13,1.00000e-30,1.00000e-30,1.66856e-09
9.01730e-02,1.03058e-10,2.09495e+01,2.09370e+01,6.98864e-12,2.22724e-18,1.85819e-11,0.00000e+00,3.36562e-01,6.63438e-01,8.76303e-13,1.00000e-30,1.00000e-30,1.66837e-09
